0,11,16,0
16,11,0,0
0,16,11,0
16,0,11,0
11,0,16,0
11,16,0,0
4,11,12,340
12,11,4,340
4,12,11,340
12,4,11,340
11,4,12,340
11,12,4,340
3,4,20,6
3,20,4,6
4,20,3,6
20,4,3,6
4,3,20,6
20,3,4,6
10,7,10,999
7,10,10,999
10,10,7,999
14,13,0,0
0,13,14,0
13,0,14,0
13,14,0,0
14,0,13,0
0,14,13,0
6,15,6,286
6,6,15,286
15,6,6,286
9,3,15,115
3,9,15,115
9,15,3,115
3,15,9,115
15,3,9,115
15,9,3,115
11,6,10,781
11,10,6,781
6,11,10,781
10,11,6,781
6,10,11,781
10,6,11,781
5,6,16,164
5,16,6,164
6,5,16,164
16,6,5,164
6,16,5,164
16,5,6,164
4,15,8,197
8,4,15,197
4,8,15,197
8,15,4,197
15,4,8,197
15,8,4,197
16,4,7,134
4,7,16,134
16,7,4,134
7,4,16,134
7,16,4,134
4,16,7,134
9,1,17,6
9,17,1,6
1,9,17,6
1,17,9,6
17,1,9,6
17,9,1,6
6,7,14,432
7,14,6,432
6,14,7,432
14,7,6,432
7,6,14,432
14,6,7,432
3,11,13,164
11,3,13,164
3,13,11,164
11,13,3,164
13,3,11,164
13,11,3,164
0,19,8,0
8,0,19,0
8,19,0,0
0,8,19,0
19,0,8,0
19,8,0,0
4,9,14,259
14,9,4,259
9,4,14,259
9,14,4,259
4,14,9,259
14,4,9,259
14,5,8,365
8,14,5,365
5,8,14,365
5,14,8,365
14,8,5,365
8,5,14,365
16,9,2,37
9,2,16,37
9,16,2,37
2,16,9,37
16,2,9,37
2,9,16,37
12,5,10,533
10,12,5,533
5,10,12,533
5,12,10,533
10,5,12,533
12,10,5,533
5,5,17,88
5,17,5,88
17,5,5,88
8,11,8,1014
11,8,8,1014
8,8,11,1014
4,2,21,1
21,2,4,1
21,4,2,1
2,4,21,1
4,21,2,1
2,21,4,1
20,6,1,1
6,1,20,1
1,6,20,1
1,20,6,1
20,1,6,1
6,20,1,1
16,1,10,9
10,1,16,9
1,10,16,9
1,16,10,9
16,10,1,9
10,16,1,9
6,2,19,8
6,19,2,8
2,6,19,8
2,19,6,8
19,2,6,8
19,6,2,8
2,11,14,58
14,11,2,58
11,14,2,58
14,2,11,58
2,14,11,58
11,2,14,58
8,18,1,4
18,8,1,4
8,1,18,4
1,8,18,4
1,18,8,4
18,1,8,4
12,13,2,64
2,13,12,64
12,2,13,64
13,2,12,64
13,12,2,64
2,12,13,64
0,20,7,0
20,7,0,0
0,7,20,0
7,0,20,0
7,20,0,0
20,0,7,0
16,3,8,84
8,16,3,84
8,3,16,84
16,8,3,84
3,8,16,84
3,16,8,84
21,0,6,0
21,6,0,0
6,21,0,0
0,6,21,0
6,0,21,0
0,21,6,0
3,21,3,1
21,3,3,1
3,3,21,1
0,9,18,0
9,0,18,0
9,18,0,0
18,0,9,0
0,18,9,0
18,9,0,0
12,15,0,0
0,15,12,0
12,0,15,0
0,12,15,0
15,0,12,0
15,12,0,0
9,9,9,1188
9,5,13,461
9,13,5,461
5,9,13,461
5,13,9,461
13,5,9,461
13,9,5,461
5,1,21,0
5,21,1,0
21,1,5,0
21,5,1,0
1,5,21,0
1,21,5,0
7,11,9,947
7,9,11,947
9,7,11,947
11,7,9,947
9,11,7,947
11,9,7,947
4,6,17,81
6,17,4,81
17,4,6,81
17,6,4,81
4,17,6,81
6,4,17,81
14,3,10,145
10,14,3,145
3,10,14,145
3,14,10,145
10,3,14,145
14,10,3,145
7,13,7,628
13,7,7,628
7,7,13,628
4,18,5,42
5,4,18,42
5,18,4,42
18,4,5,42
4,5,18,42
18,5,4,42
18,2,7,15
2,18,7,15
7,18,2,15
7,2,18,15
2,7,18,15
18,7,2,15
1,23,3,0
3,1,23,0
1,3,23,0
23,3,1,0
23,1,3,0
3,23,1,0
5,2,20,3
5,20,2,3
20,2,5,3
2,20,5,3
20,5,2,3
2,5,20,3
8,2,17,25
2,8,17,25
8,17,2,25
17,2,8,25
17,8,2,25
2,17,8,25
1,13,13,13
13,1,13,13
13,13,1,13
3,18,6,31
6,3,18,31
18,6,3,31
18,3,6,31
6,18,3,31
3,6,18,31
8,9,10,1127
10,8,9,1127
8,10,9,1127
9,8,10,1127
9,10,8,1127
10,9,8,1127
5,7,15,258
7,5,15,258
15,5,7,258
7,15,5,258
5,15,7,258
15,7,5,258
3,5,19,14
5,3,19,14
5,19,3,14
19,5,3,14
3,19,5,14
19,3,5,14
5,11,11,554
11,5,11,554
11,11,5,554
4,19,4,19
19,4,4,19
4,4,19,19
2,23,2,0
2,2,23,0
23,2,2,0
4,22,1,0
22,1,4,0
1,4,22,0
1,22,4,0
4,1,22,0
22,4,1,0
12,9,6,711
6,12,9,711
9,6,12,711
9,12,6,711
12,6,9,711
6,9,12,711
4,13,10,311
10,4,13,311
4,10,13,311
13,4,10,311
10,13,4,311
13,10,4,311
1,7,19,2
19,1,7,2
1,19,7,2
7,19,1,2
7,1,19,2
19,7,1,2
12,3,12,174
3,12,12,174
12,12,3,174
3,17,7,53
17,7,3,53
17,3,7,53
7,3,17,53
7,17,3,53
3,7,17,53
10,2,15,49
2,15,10,49
15,2,10,49
15,10,2,49
10,15,2,49
2,10,15,49
3,2,22,0
22,3,2,0
2,22,3,0
2,3,22,0
3,22,2,0
22,2,3,0
11,1,15,11
11,15,1,11
1,11,15,11
15,11,1,11
1,15,11,11
15,1,11,11
12,1,14,13
14,1,12,13
12,14,1,13
14,12,1,13
1,12,14,13
1,14,12,13
6,8,13,585
8,6,13,585
13,6,8,585
13,8,6,585
6,13,8,585
8,13,6,585
0,17,10,0
10,17,0,0
0,10,17,0
17,0,10,0
17,10,0,0
10,0,17,0
12,7,8,818
8,12,7,818
7,8,12,818
7,12,8,818
12,8,7,818
8,7,12,818
