(9, 13, 14, 19) 0
(8, 14, 30, 3) 0
(13, 9, 32, 1) 0
(13, 9, 17, 16) 0
(9, 13, 27, 6) 0
(10, 12, 18, 15) 0
(10, 12, 22, 11) 0
(9, 13, 13, 20) 0
(14, 8, 22, 11) 0
(8, 14, 22, 11) 0
(8, 14, 13, 20) 0
(13, 9, 26, 7) 0
(13, 9, 21, 12) 0
(10, 12, 16, 17) 0
(8, 14, 20, 13) 0
(13, 9, 15, 18) 0
(11, 11, 21, 12) 1
(8, 14, 17, 16) 0
(12, 10, 18, 15) 0
(10, 12, 14, 19) 0
(11, 11, 13, 20) 0
(11, 11, 19, 14) 1
(10, 12, 17, 16) 0
(9, 13, 28, 5) 0
(10, 12, 26, 7) 0
(13, 9, 16, 17) 0
(12, 10, 25, 8) 0
(11, 11, 33, 0) 1
(14, 8, 26, 7) 0
(9, 13, 24, 9) 0
(9, 13, 21, 12) 0
(10, 12, 20, 13) 0
(10, 12, 19, 14) 0
(13, 9, 22, 11) 0
(13, 9, 19, 14) 0
(12, 10, 31, 2) 0
(14, 8, 16, 17) 0
(11, 11, 30, 3) 1
(10, 12, 31, 2) 0
(11, 11, 32, 1) 1
(11, 11, 24, 9) 1
(12, 10, 24, 9) 0
(8, 14, 16, 17) 0
(14, 8, 31, 2) 0
(11, 11, 28, 5) 1
(12, 10, 19, 14) 0
(14, 8, 17, 16) 0
(13, 9, 23, 10) 0
(8, 14, 18, 15) 0
(14, 8, 25, 8) 0
(12, 10, 15, 18) 0
(8, 14, 33, 0) 0
(14, 8, 32, 1) 0
(14, 8, 33, 0) 0
(11, 11, 29, 4) 1
(11, 11, 25, 8) 1
(10, 12, 27, 6) 0
(10, 12, 25, 8) 0
(10, 12, 33, 0) 0
(10, 12, 28, 5) 0
(9, 13, 22, 11) 0
(12, 10, 33, 0) 0
(12, 10, 28, 5) 0
(9, 13, 12, 21) 0
(10, 12, 30, 3) 0
(11, 11, 31, 2) 1
(9, 13, 20, 13) 0
(11, 11, 18, 15) 1
(14, 8, 30, 3) 0
(9, 13, 17, 16) 0
(9, 13, 33, 0) 0
(14, 8, 13, 20) 0
(11, 11, 23, 10) 1
(8, 14, 19, 14) 0
(12, 10, 30, 3) 0
(10, 12, 12, 21) 0
(9, 13, 15, 18) 0
(11, 11, 14, 19) 0
(8, 14, 32, 1) 0
(8, 14, 25, 8) 0
(13, 9, 27, 6) 0
(13, 9, 29, 4) 0
(9, 13, 32, 1) 0
(10, 12, 32, 1) 0
(8, 14, 23, 10) 0
(10, 12, 29, 4) 0
(13, 9, 31, 2) 0
(12, 10, 14, 19) 0
(13, 9, 25, 8) 0
(8, 14, 14, 19) 0
(11, 11, 27, 6) 1
(14, 8, 29, 4) 0
(11, 11, 15, 18) 0
(8, 14, 29, 4) 0
(13, 9, 12, 21) 0
(8, 14, 27, 6) 0
(9, 13, 29, 4) 0
(14, 8, 27, 6) 0
(9, 13, 16, 17) 0
(11, 11, 12, 21) 0
(9, 13, 31, 2) 0
(12, 10, 26, 7) 0
(11, 11, 17, 16) 0
(9, 13, 18, 15) 0
(14, 8, 28, 5) 0
(10, 12, 13, 20) 0
(14, 8, 20, 13) 0
(8, 14, 24, 9) 0
(13, 9, 18, 15) 0
(14, 8, 15, 18) 0
(12, 10, 21, 12) 0
(13, 9, 24, 9) 0
(12, 10, 13, 20) 0
(11, 11, 22, 11) 1
(14, 8, 18, 15) 0
(8, 14, 26, 7) 0
(11, 11, 16, 17) 0
(12, 10, 20, 13) 0
(13, 9, 30, 3) 0
(12, 10, 32, 1) 0
(12, 10, 16, 17) 0
(10, 12, 21, 12) 0
(14, 8, 24, 9) 0
(8, 14, 28, 5) 0
(13, 9, 33, 0) 0
(13, 9, 20, 13) 0
(12, 10, 27, 6) 0
(8, 14, 21, 12) 0
(13, 9, 13, 20) 0
(10, 12, 23, 10) 0
(12, 10, 22, 11) 0
(11, 11, 26, 7) 1
(12, 10, 12, 21) 0
(14, 8, 23, 10) 0
(12, 10, 17, 16) 0
(8, 14, 15, 18) 0
(12, 10, 29, 4) 0
(9, 13, 19, 14) 0
(14, 8, 21, 12) 0
(13, 9, 14, 19) 0
(8, 14, 31, 2) 0
(14, 8, 14, 19) 0
(9, 13, 25, 8) 0
(9, 13, 26, 7) 0
(9, 13, 30, 3) 0
(14, 8, 19, 14) 0
(12, 10, 23, 10) 0
(13, 9, 28, 5) 0
(10, 12, 24, 9) 0
(10, 12, 15, 18) 0
(9, 13, 23, 10) 0
(11, 11, 20, 13) 1
