(14, 10, 17, 19) 0
(12, 12, 23, 13) 0
(12, 12, 21, 15) 0
(10, 14, 36, 0) 0
(13, 11, 31, 5) 0
(12, 12, 34, 2) 0
(11, 13, 32, 4) 0
(10, 14, 31, 5) 0
(14, 10, 21, 15) 0
(12, 12, 32, 4) 0
(11, 13, 24, 12) 0
(14, 10, 19, 17) 0
(12, 12, 20, 16) 0
(13, 11, 21, 15) 0
(14, 10, 24, 12) 0
(13, 11, 34, 2) 0
(12, 12, 36, 0) 0
(10, 14, 15, 21) 0
(12, 12, 35, 1) 0
(14, 10, 33, 3) 0
(13, 11, 27, 9) 0
(11, 13, 22, 14) 0
(12, 12, 27, 9) 0
(13, 11, 30, 6) 0
(11, 13, 34, 2) 0
(14, 10, 20, 16) 0
(13, 11, 20, 16) 0
(12, 12, 16, 20) 0
(13, 11, 35, 1) 0
(12, 12, 17, 19) 0
(13, 11, 18, 18) 0
(13, 11, 28, 8) 0
(11, 13, 19, 17) 0
(10, 14, 23, 13) 0
(13, 11, 17, 19) 0
(11, 13, 21, 15) 0
(14, 10, 23, 13) 0
(12, 12, 31, 5) 0
(10, 14, 26, 10) 0
(12, 12, 28, 8) 0
(13, 11, 29, 7) 0
(10, 14, 25, 11) 0
(12, 12, 22, 14) 0
(14, 10, 25, 11) 0
(13, 11, 19, 17) 0
(11, 13, 30, 6) 0
(14, 10, 18, 18) 0
(14, 10, 31, 5) 0
(10, 14, 17, 19) 0
(13, 11, 36, 0) 0
(14, 10, 16, 20) 0
(11, 13, 35, 1) 0
(10, 14, 30, 6) 0
(13, 11, 16, 20) 0
(12, 12, 33, 3) 0
(11, 13, 18, 18) 0
(14, 10, 30, 6) 0
(12, 12, 29, 7) 0
(13, 11, 15, 21) 0
(10, 14, 34, 2) 0
(10, 14, 19, 17) 0
(11, 13, 29, 7) 0
(12, 12, 24, 12) 0
(10, 14, 24, 12) 0
(13, 11, 25, 11) 0
(14, 10, 34, 2) 0
(14, 10, 29, 7) 0
(11, 13, 31, 5) 0
(12, 12, 30, 6) 0
(14, 10, 32, 4) 0
(11, 13, 23, 13) 0
(10, 14, 29, 7) 0
(12, 12, 26, 10) 0
(10, 14, 16, 20) 0
(11, 13, 26, 10) 0
(11, 13, 16, 20) 0
(11, 13, 17, 19) 0
(10, 14, 32, 4) 0
(11, 13, 36, 0) 0
(10, 14, 27, 9) 0
(10, 14, 20, 16) 0
(12, 12, 18, 18) 0
(12, 12, 15, 21) 0
(11, 13, 28, 8) 0
(14, 10, 27, 9) 0
(13, 11, 32, 4) 0
(13, 11, 23, 13) 0
(13, 11, 24, 12) 0
(14, 10, 35, 1) 0
(12, 12, 25, 11) 0
(11, 13, 15, 21) 0
(14, 10, 22, 14) 0
(13, 11, 33, 3) 0
(10, 14, 35, 1) 0
(13, 11, 26, 10) 0
(11, 13, 33, 3) 0
(10, 14, 18, 18) 0
(10, 14, 22, 14) 0
(10, 14, 33, 3) 0
(11, 13, 25, 11) 0
(14, 10, 26, 10) 0
(10, 14, 28, 8) 0
(12, 12, 19, 17) 0
(13, 11, 22, 14) 0
(11, 13, 27, 9) 0
(11, 13, 20, 16) 0
(14, 10, 15, 21) 0
(14, 10, 28, 8) 0
(10, 14, 21, 15) 0
(14, 10, 36, 0) 0
