(13, 13, 21, 18) 0
(12, 14, 31, 8) 0
(12, 14, 28, 11) 0
(12, 14, 24, 15) 0
(14, 12, 24, 15) 0
(13, 13, 38, 1) 0
(14, 12, 31, 8) 0
(12, 14, 36, 3) 0
(14, 12, 37, 2) 0
(12, 14, 21, 18) 0
(14, 12, 30, 9) 0
(12, 14, 18, 21) 0
(12, 14, 19, 20) 0
(13, 13, 25, 14) 0
(12, 14, 32, 7) 0
(12, 14, 37, 2) 0
(13, 13, 29, 10) 0
(12, 14, 35, 4) 0
(13, 13, 26, 13) 0
(12, 14, 39, 0) 0
(12, 14, 33, 6) 0
(13, 13, 23, 16) 0
(14, 12, 25, 14) 0
(13, 13, 20, 19) 0
(14, 12, 35, 4) 0
(12, 14, 30, 9) 0
(13, 13, 19, 20) 0
(12, 14, 29, 10) 0
(14, 12, 22, 17) 0
(12, 14, 25, 14) 0
(13, 13, 24, 15) 0
(13, 13, 31, 8) 0
(12, 14, 22, 17) 0
(13, 13, 32, 7) 0
(14, 12, 21, 18) 0
(13, 13, 30, 9) 0
(12, 14, 38, 1) 0
(13, 13, 33, 6) 0
(13, 13, 22, 17) 0
(13, 13, 28, 11) 0
(12, 14, 23, 16) 0
(14, 12, 19, 20) 0
(14, 12, 34, 5) 0
(13, 13, 18, 21) 0
(12, 14, 27, 12) 0
(14, 12, 33, 6) 0
(14, 12, 28, 11) 0
(13, 13, 39, 0) 0
(12, 14, 26, 13) 0
(14, 12, 32, 7) 0
(14, 12, 38, 1) 0
(13, 13, 35, 4) 0
(14, 12, 26, 13) 0
(14, 12, 27, 12) 0
(14, 12, 20, 19) 0
(14, 12, 23, 16) 0
(14, 12, 29, 10) 0
(14, 12, 36, 3) 0
(14, 12, 18, 21) 0
(12, 14, 34, 5) 0
(12, 14, 20, 19) 0
(13, 13, 36, 3) 0
(13, 13, 37, 2) 0
(14, 12, 39, 0) 0
(13, 13, 27, 12) 0
(13, 13, 34, 5) 0
